sys_yes	行 的 呢
sys_yes	是 啊 哪
sys_yes	是 啊 呃
sys_yes	要 得 呃
sys_yes	行 吧 呀
sys_yes	是 对 啊
sys_yes	知 道 呃
sys_yes	说 吧
sys_yes	对 的
sys_yes	好 嘞 了
sys_yes	我 好 再 见
sys_no	不 可 以
sys_yes	那 OK
sys_yes	能 的 啊
sys_yes	好 好 哈
sys_yes	OK 啦
chitchat	哎 拜 拜
sys_yes	好 谢 谢
sys_yes	可 以 考 虑
sys_yes	是 的 哪
sys_yes	好 好 行
sys_yes	嗯 是 啊
sys_no	不 好 意 思 不 感 兴 趣
sys_yes	那 行 啊
sys_yes	好 行 呢
sys_no	没 有 没 有
chitchat	我 现 在 在 上 班
sys_no	唉 拜 拜
sys_yes	恩 好
sys_yes	嗯 行 吧
sys_yes	行 好 麻 烦
sys_yes	好 对 啊
sys_no	不 用
sys_yes	对 哎
chitchat	声 音 太 轻
sys_yes	额 是 的
sys_yes	要 得 好
sys_yes	应 该 好 好
sys_yes	应 该 晓 得
sys_yes	行 好 哦
sys_no	不 用 不 用 不 用 不 用
sys_yes	行 行 再 见
sys_yes	行 的 呃
sys_yes	要 得 喂
sys_yes	哦 对 啊
sys_yes	对 嗯
sys_yes	行 吧 吧
sys_no	没 有 空
sys_yes	好 行 好 的
chitchat	哦 拜 拜
chitchat	听 不 见 吗
sys_yes	OK 啊
sys_no	不 感 兴 趣
sys_yes	我 在
sys_yes	好 再 见
sys_yes	可 以 好
chitchat	我 在 开 车 稍 等
sys_yes	额 是
sys_yes	嗯 行 行
sys_yes	好 没 问 题
sys_yes	额 好 嘞
sys_yes	知 道 喂
sys_yes	行 的 啊
sys_yes	对 的 了
sys_yes	好 的 好 的 好 的
sys_yes	好 的 嗯
sys_yes	知 道 了 OK
chitchat	喂 喂
sys_yes	啊 是 的
sys_yes	要 的 喂
sys_yes	嗯 没 关 系
sys_yes	对 啊 哪
sys_yes	有 兴 趣
sys_yes	晓 得 嗯
sys_yes	对 啊 呢
sys_no	不 考 虑
sys_yes	ok 嗯
sys_no	不 方 便 那
sys_no	没 必 要
sys_yes	好 谢 谢
sys_yes	好 好
sys_yes	要 的
sys_no	不 需 要 了 不 需 要
chitchat	我 现 在 上 班 没 时 间
sys_yes	了 解 一 下
sys_yes	知 道 吧
sys_yes	好 晓 得
sys_no	不 必
sys_yes	好 好 啦
sys_no	不 需 要 有 需 要 联 系 你
sys_yes	好 的 额
sys_yes	恩 对 啊
sys_yes	ok 额
sys_yes	呃 行 啊
sys_yes	哎 行 吧
sys_yes	我 要 得
sys_no	接 受 不 了
sys_no	不 方 便 呀
sys_yes	好 嘞 恩
sys_no	没 想 法
sys_no	不 用 了 不 用 了 我 现 在 暂 时 没 时 间 去 学 这 些
sys_yes	对 的 哈
sys_yes	是 的 麻 烦
sys_yes	ok 哈
sys_yes	对 哪
sys_yes	对 了
sys_yes	额 知 道
sys_no	你 不 打 这 个 电 话
sys_yes	唉 行 好
sys_no	现 在 不 行
sys_no	不 可 以 呢
sys_yes	说 说 看
sys_yes	行 吧 哎
sys_yes	应 该 行 的
sys_yes	行 吧 恩
sys_yes	要 的 谢 谢
sys_yes	OK 吧
sys_yes	好 的 啦
sys_no	啊 挂 了
sys_yes	那 是 的
chitchat	你 讲 的 什 么
sys_no	不 要 了 不 要 了
